Array Size: ,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insercion: ,119.4,304.3,525,814.2,1204.6,1728.8,2123.9,2595,3304.7,3723.1,4460.9,5056.6,6278.7,7111.9,7914.7,8576.8,9685.9,10663.1,11916,13337.8,14569.6,16140.4,17363.3,18729.1,20260.6,21442.4,23458,24644.9,26848.9,28664.3,30550.4,32720.3,34000.9,35794.5,38164.5,40454.3,42883.7,45152.6,47269.4,49880.9,52453.9,54403.4,56357.6,59385.7,62481.1,65746.1,67537,70671.6,73349.5,76346.2,80035,83105.1,85607,88762.3,92013.2,94695.8,99061.6,101734,105969,109088,112283,115343,119795,123829,127919,131161,135348,138772,144370,148104,151547,157099,163525,168183,172727,177098,181508,184445,186048,192704,196562,201441,205783,210933,218064,221595,226982,231020,237201,242487,248069,253507,259768,265950,271864,274547,280528,289780,292096,298477
Burbuja: ,269,825.4,1942.9,3422.2,5473.5,7145,9411.6,12127.2,14543.6,17720,20776,23430.4,28101.6,33263.6,37106,39711.3,44658.2,49377.8,55035.9,61553.6,67172,73993.1,80468.7,86103.3,94127,98991.6,107748,113271,123503,132750,139736,149322,156641,164659,174982,185004,196093,206589,216586,227427,240726,250425,258958,271557,286662,301175,308358,324118,336151,349678,366876,381047,392477,405900,421818,433649,454716,466129,484050,499350,515148,528383,549047,566227,585741,600013,618492,636821,661541,678534,696905,719590,749836,771455,792067,812658,833671,844904,854279,887526,904333,926802,942311,967408,1.00E+06,1.02E+06,1.04E+06,1.06E+06,1.09E+06,1.12E+06,1.14E+06,1.16E+06,1.19E+06,1.22E+06,1.25E+06,1.26E+06,1.29E+06,1.33E+06,1.35E+06,1.37E+06
Seleccion: ,255.8,542.6,1028.3,1684,2434.1,3203.6,4126.5,5204.4,6372.6,7306.6,8879.5,9924.3,11819.8,13780,15204.2,16418.8,18337.4,20326.9,22334.8,24783.6,27266,29565.7,32062.1,34172.1,37255.7,39275.3,42516.6,44745.1,48427.4,51853.9,54492,59005.9,60713.8,64078.3,68217,71626.1,75787.5,79592.9,83269.1,87450.2,92326.6,95679.8,98819,103529,108676,114285,117054,122673,126851,132012,138842,143171,147446,152239,158060,162341,170411,174215,180701,186153,191707,197045,204233,210654,216804,222230,228290,235033,244457,249881,256381,264500,275337,282601,289841,297380,304858,309213,312578,322538,328766,337195,344062,352259,362709,369160,377432,383585,393140,402069,411519,419993,429610,439960,449404,453724,462482,477105,481287,491247
Merge: ,348.7,691.1,1113.7,1595,2229.7,2999.3,2972.5,3484.1,4482.8,4753.8,5179.1,5604.5,6220,7144.9,7374.1,7620.7,8440.9,8884.5,9493.5,10367,10818.1,11547.7,12133.9,12636.1,13139.7,13505.5,14541.2,14701.1,15540.6,16796,16850.9,17285.7,17926.5,18551.4,19390.7,19878.1,20653.6,21162.8,21984.2,22574.4,23503.2,23913.6,24453.6,24815.2,25584.8,26693.1,26956.4,27722.9,28194.5,28947.3,29393.6,30111.2,30946.6,31980.4,32359.4,32837.5,33626.4,33946,34878.5,35444.7,36088.8,36572,37458.8,37691.8,38633.4,39410.4,40310.6,40876.5,42191.5,42549.8,43586.5,44034.6,45425.6,45997.1,46654.7,47046.4,47861.2,48503.9,48324.4,49700.5,50234.4,51075.7,51035,52255.7,53333,53458.8,54095.5,54198.9,54928.3,55949.7,56921.1,57286,58349.9,59423.5,60007.9,59766.9,60649.5,62133,62109.9,62735.8
Quick: ,257,471.1,737.8,1074.2,1465.4,1800.1,1994.2,2580.9,2833.4,3097.3,3569,3785.1,4334.8,4802.7,5149,5301.7,5724,6102,6560.8,7015,7472.3,7941,8278.2,8650.6,9081.5,9404.8,9892.4,10208.2,10883.1,11205.9,11926.6,12195.2,12497,12822.1,13357.6,13797.6,14322.7,14849.8,15188,15673.8,16200.9,16476.9,16822,17495.9,18026.4,18441.2,18813.4,19327.4,19958.9,20240.1,20805.7,21122.9,21580.4,21957.9,22563.8,22870.7,23740.1,23834.4,24398.7,24816.9,25176.3,25515.3,26060.7,26545.3,27222.1,27504.3,28114.5,28334.3,29131.4,29499.1,29749.8,30544.6,31485.4,31972.2,32416.5,32919.6,33341.4,33521.8,33564.3,34166.1,34610.8,35042.1,35502.5,36107.5,36584.4,37070.2,37454.2,37783.5,38624.3,38883.7,39401.4,39936.8,40505.5,41206.5,41574.5,41743.1,42280.5,43135.1,43243.6,43719.3
Monticulos: ,301.4,725.1,1016.3,1714,1965.9,2793.1,3095.7,3633.4,4339.1,4760.7,5395.9,5803.3,6722.5,7718.3,7985.6,8318.3,9002.6,9600.5,10347,11056.3,11721,12536.7,13132.2,13938.1,14710.3,15200.6,15925.6,16405.3,17722.1,18137.5,18733,19621.5,20037.5,20704.6,21585.8,22393.2,23211.8,24050.8,24660.3,25546.6,26416.5,26883.9,27357.5,28155.1,29271.3,30393.1,30569.4,31708.3,32236,33057.6,34027.5,34664.7,35320.2,35960.8,36867.2,37263.6,38561.2,38994.7,40069.9,40559.4,41412,41762.9,43020.6,43891.9,44779,45007.1,46365.7,46653.9,47876.2,48608.8,49317.9,50260.8,51762.7,52580.4,53375.4,54382.4,55240.8,55393.2,55359.4,56771.6,57310.7,58101.3,58525.9,59947.1,60718.9,61307.5,62166.2,62618.4,63639.9,64748,65503.9,66244.1,67199.5,68356.7,69184.1,69247.9,70277.1,71569.1,71640.8,72654.6
Shell: ,277,545.6,837.3,1314.6,1653.5,1966.4,2253.2,2671.7,3207.1,3458.2,3933,4179.8,4762.5,5205.2,5768.7,6042.4,6384.4,6936.3,7495.8,8114.3,8634.3,9168.7,9608.4,10655.1,11060,11543.8,12256.1,12845.9,13591.2,14018.7,14698.9,15794.7,16215.9,16502.8,17277.1,19123.2,19156.9,20108.3,20276.6,22139.8,22708.7,23202.4,23394.9,25460.2,26233,26865.4,26579.7,30181.4,29718.4,30361.2,30594.7,33530.9,33585.3,34234.8,34577.5,37014.7,37819.5,37749.2,38581.9,43037.4,41942.4,42380.3,42673.6,46511.1,46885.9,47170,47026.7,51349.8,51808.8,51138.6,51732.6,58664.9,57336.4,58724.8,57994.1,63351.2,63356.7,62688.6,62099.8,68177.2,67235.9,66550.9,67088.4,76261.6,72621.6,73581.8,72581.5,78607,79552.4,79511.4,79265.1,85776.8,85475.7,84603.5,85282,93959.6,90383.9,92724.8,90723.3,99558
