Array Size: ,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,

,400,700,1200,1900,2200,3200,4200,6600,6200,7400,8400,10300,14300,12900,15000,17300,22900,20400,27500,30100,33100,39600,31900,42400,45400,48100,52500,43700,46900,65400,67000,57800,73800,64500,83600,72100,74600,80300,81600,88700,90100,95200,99000,103800,130200,140500,118000,146700,200500,159300,164500,153700,178600,152800,151400,162400,170200,176000,176100,322500,230800,199100,254500,206900,230200,244400,238100,234100,273600,251700,261000,297100,277200,279000,297500,292200,308500,303000,378100,321200,317200,330500,345700,427400,360400,382900,382600,467000,482900,404100,455400,436300,512800,432500,445700,452000,468800,482800,474600,478000
,300,700,1700,1500,2200,3200,3800,6300,6400,7200,8600,10200,14000,12900,14800,16700,22400,20900,27100,29500,32600,35300,32200,43800,45200,47800,51000,44200,47400,61600,65500,129200,72800,64300,82600,69000,74500,76400,80900,84400,93300,97900,99700,125300,107200,135400,118900,121000,147700,137300,151400,139600,142900,146500,160900,157300,164600,170300,181200,189700,197400,200000,196000,206900,210500,221300,236100,237400,254000,243800,262200,254500,261600,338400,290300,288000,298800,369400,314700,378200,332500,362600,427100,355200,397700,383800,402500,402000,462500,410500,411600,415900,424100,433700,473400,450500,472800,486000,518300,497500
,300,600,1700,1700,2200,3200,3700,6200,6100,7100,8500,9900,14000,12700,14500,16900,21900,20100,27000,30500,32900,35100,31000,41100,44000,47300,50700,43900,47200,61400,64700,64200,75000,64800,83700,69900,72300,76400,80800,84400,89500,94400,97500,208600,132600,113200,117500,141800,125600,163400,132300,137700,149100,150300,167800,188500,174900,171300,176200,179600,186600,197600,199000,236600,220400,221100,222300,236800,275900,245600,261800,259100,272400,274900,274300,288500,307200,318700,310100,347200,342700,341700,341700,352500,355100,393500,372600,463500,475100,405100,425500,593900,423700,439300,437500,455900,488100,501500,506500,487900
,300,600,1600,1600,2400,3100,3800,6200,8200,7400,8500,10100,13900,12700,14500,16300,22600,19900,26800,29900,36200,34700,31300,41000,44200,47700,50100,44100,47100,49700,64700,68700,59300,63400,68400,69700,73900,77200,83500,84400,106800,92800,99200,101100,106600,109600,114300,118500,126000,127200,152300,141100,145600,152400,172500,180900,250400,178700,198500,195500,211000,204800,200700,220200,218000,222300,227700,251700,246400,252700,263000,281000,260100,277000,286900,304400,434100,356800,323300,334500,331300,334700,453200,351700,389000,375300,388500,374400,394700,413000,428400,419800,500800,462500,453900,459700,464300,480700,484700,498600
,300,600,1700,1700,2300,2900,3600,6100,5900,7200,8800,10200,13700,12700,14700,16300,22400,19700,26600,33000,31800,35300,31300,40900,44100,160600,40900,44300,48000,49500,52500,95000,58900,63100,66300,69800,73100,76700,82100,83800,91000,93400,96400,104900,106100,110100,113700,127800,123600,128400,137000,155600,150100,149100,159000,164800,174900,178100,210200,232700,190800,213700,204500,214200,219300,315700,306800,238700,247000,247800,255800,264800,370000,286400,284600,295800,313000,310600,314900,337500,338100,325600,347300,414100,365900,367800,387400,418000,407500,417200,419500,473300,420200,441200,453100,458700,468600,481000,496500,499400
,200,500,1600,1600,2300,3200,3900,6100,6000,7300,8400,10000,13700,12600,14800,16600,22300,19900,22500,29700,43300,28400,31600,40900,44400,38600,40900,44700,47900,49100,52900,56700,59100,63200,66600,69600,73500,76800,85600,85000,91700,93000,101000,103000,108300,114600,145200,124500,128600,132700,145800,141800,168400,149300,160800,164800,178600,178000,227000,179700,190500,205200,211300,204100,209400,230100,239600,235800,247100,273900,260100,259600,279100,290500,296100,308200,314100,320000,383400,319800,329400,341900,341600,355100,353700,368800,379100,454400,397600,416100,440100,416400,417100,433700,480300,446100,489500,476100,563400,498500
,200,500,1700,1700,2200,3100,7000,6200,6100,7200,8200,10000,14100,12700,14900,16600,22200,19500,22200,29100,31800,30000,31500,32800,43700,38000,40800,44100,47300,49300,55000,57100,59300,63200,67100,70900,74500,76900,82300,85900,90700,95400,97900,103500,108700,112900,120400,209400,127500,131500,139700,158100,162900,151200,157900,163400,214000,177900,190800,258500,191500,201700,205700,221100,216600,231000,233500,237300,263500,254600,253200,276600,286000,290200,291600,306300,315600,323700,317100,329600,327000,339300,336300,422200,353200,364000,386700,404000,408300,399400,413200,420400,419900,437300,445800,452800,476400,480100,472800,481700
,200,600,1400,1600,2300,3300,3900,6300,6100,7200,8500,9600,13500,12700,14700,16600,21800,20100,22200,29200,31700,28200,31200,32500,35000,38200,40800,45200,47200,50200,156200,56400,59300,64500,67700,70500,77900,77200,84100,96900,91400,94700,103200,103400,108500,137300,117000,128500,125400,144700,136500,147600,165300,151500,159300,158200,179500,178900,193600,187100,186600,201700,202000,213000,211400,216200,239600,236000,249100,257600,257200,258200,280700,285700,298400,301400,310100,315500,316800,330400,346300,333000,346700,356400,360600,367600,380800,376000,459700,400700,417500,510400,430300,443600,446900,451100,487100,502900,484300,491800
,300,600,1500,1600,2300,3100,4000,6100,6000,7200,8700,10000,13900,12800,15000,16300,21800,19800,22300,29400,30700,28400,31400,33400,35000,37900,40500,45500,47600,50500,53800,55500,59000,64200,80600,70100,87600,87900,93700,85900,89800,95900,98700,102900,111000,112500,115700,171800,134000,182100,160200,140600,149600,151800,163300,159300,169500,178400,219900,182100,190500,202500,202200,210600,212800,222500,235100,232300,258800,248400,255800,289800,277400,291700,291700,303800,311600,318300,322100,328200,333700,352700,339200,347700,360600,384700,386300,372800,402300,438500,412400,558300,553600,434100,466800,451300,485600,489300,500800,496000
,300,500,1600,1700,2300,2900,3800,6100,6100,10200,8100,9900,13800,12300,14600,16600,21700,19900,22400,29400,35200,28300,31600,33000,35500,37600,41200,45100,48500,50300,53500,55900,59200,64000,68200,73500,79700,81200,82100,93600,89300,95900,103000,112300,109600,194700,152400,121800,128300,129600,135400,145000,152900,158900,157900,161200,172200,179400,179500,186800,190600,199400,202100,207400,226600,222700,299100,238700,270500,246000,260800,261100,280400,285000,296700,300300,308900,317300,318200,336600,324400,388700,377700,345700,370900,371000,375700,382300,384800,407500,406800,427700,426700,451000,448200,452900,468300,495400,472400,506100
,300,600,1700,1500,2300,3100,4000,5900,6200,7000,8200,10100,13700,12300,14700,16600,18000,19400,22300,23900,26100,28400,32000,32800,35300,39300,41400,44400,48100,50400,53600,55200,59000,65200,87500,73300,75400,79800,82700,86200,90300,96700,97900,114100,106800,108300,116500,118400,128900,127100,137500,142300,150000,149700,160100,168200,173100,177200,184200,186000,191300,201000,199600,222700,217700,217800,226400,233600,250800,243100,284600,323700,280300,286200,291600,303200,310100,318100,305500,321100,330000,338600,339400,346700,361700,372700,392900,375400,410400,401900,405700,425200,426000,444700,437400,452100,461000,476500,481100,491700
,200,500,1700,1600,2300,3000,3900,5800,6400,7000,8300,10000,13900,12600,14400,17200,18000,19900,22100,23900,28100,28400,31800,33100,35500,39100,41500,49500,47200,51000,53300,56700,61200,65400,68300,83400,76300,79500,82800,86800,90100,94400,101500,104000,110200,111400,118900,126500,123600,134300,136600,140200,203000,149800,160700,160400,169300,177900,180100,180900,191800,202600,203200,214800,237600,223400,227500,232100,283700,249800,255200,256900,279500,291800,296200,300700,310400,313500,309500,334200,331200,357300,336000,356400,358700,370500,368900,380100,392900,417800,413400,416300,495500,434700,449600,452100,473500,473700,487500,526700
,600,600,1600,1800,2200,3100,4100,6200,6400,7100,8600,9700,14100,12600,14500,16200,18200,19900,22000,23500,26000,28300,32200,33300,34900,39100,41200,45800,47600,51100,52900,70000,60600,65300,74100,70600,74900,81300,80500,87900,89200,94300,96800,104500,110400,109900,117600,125300,124900,129400,136800,164400,159700,151600,153300,212900,164300,178000,179800,196000,186900,198200,199600,208900,213400,223400,295800,234800,277700,263600,257000,263500,279100,286400,294000,300100,313100,318000,325300,326900,320500,338700,353200,363900,352700,362500,366600,377300,384600,392900,408300,415500,419000,436300,452400,447900,462500,500100,482600,505800
,300,500,1500,1500,2300,3000,4000,6200,6100,7400,8500,10000,13600,12200,14700,16500,17900,20200,22000,23800,26100,28400,31600,33400,35400,39500,40800,45100,47900,50900,54300,66700,60900,65800,67600,75300,74600,76800,80200,89500,89800,93900,98700,104000,107000,108000,117800,120800,127400,130900,163200,144400,160400,152400,173500,170700,168800,177600,184100,185000,194900,201900,207900,215100,227600,278400,224200,236200,250800,246400,252900,265000,279100,289500,296500,301400,308200,317100,315100,318700,335100,342900,339500,362700,357500,364300,368800,375000,393500,411600,412800,521700,425600,429700,439300,450100,463700,475100,479100,507400
,300,500,1600,1700,2300,3100,4000,6200,6200,7200,8700,9900,11100,12400,14800,16000,18300,19800,22400,23600,25600,28300,31800,34600,35300,45900,40400,45700,47900,72900,64000,65800,61100,66100,67500,72900,75900,77600,83600,85700,110800,94500,98300,103900,116900,113700,117900,128400,127700,130100,136200,145800,159900,162000,160400,159900,169900,176800,182000,192800,212300,205200,206600,208200,299200,220500,222100,231600,249900,245600,258400,267200,279000,285900,290600,304600,306900,322900,309600,318500,348900,330500,337500,367000,367100,361900,385400,448900,464200,400400,406800,417800,427600,454700,451800,451300,471600,490800,491400,488300
,300,600,1600,1700,2200,2900,4000,6000,6000,7300,8300,9900,10900,12400,16600,16300,17800,19800,22500,23900,25900,28400,33100,32700,35200,39100,40700,45000,47800,49500,54700,55500,60700,69800,68200,73100,77800,79300,82200,84200,91700,95500,100400,110800,110500,113000,119000,129200,135800,130700,151300,140500,149600,153100,165400,218400,165200,177500,181300,180000,211800,202300,210300,229700,217100,220400,225900,232700,246600,248200,262600,265000,278500,284000,289200,302500,308200,315900,319600,337500,334300,328100,446900,357700,365700,372500,393500,374800,401600,399000,434000,427700,419000,434500,447500,458700,467000,497000,488300,503900
,300,500,1500,1700,2300,3000,3900,5200,6200,7100,8200,10000,11100,12600,15000,16400,18000,20100,22100,24000,26000,28100,31000,33900,61600,39400,46200,45100,48500,55300,55100,56000,60900,64900,72300,69800,75000,79800,104600,85800,93500,94500,100400,150600,110100,112500,126100,120100,126800,130700,139000,140500,158600,150800,163200,161100,166300,177200,179300,184700,187300,200200,209200,205000,217500,308400,226300,233000,248400,247600,266800,262700,279800,285700,290000,301100,306100,315900,393100,314800,353100,343300,344200,349500,374500,366200,385400,390000,391500,391700,422800,416500,503300,432300,457700,445600,459700,468500,479600,506100
,300,700,1600,1600,2300,3000,3900,5200,6300,6900,8800,10100,11000,12500,14800,17200,18100,20000,22100,24100,25700,28900,31300,33700,36300,39100,42400,45600,48100,50600,64700,56000,61400,64500,66500,69900,75900,78700,81300,85500,92800,94400,98000,103900,131800,112700,120500,121300,124200,129000,133700,145800,152400,150200,160300,164300,194900,176500,179300,256100,190500,199700,209900,207500,215400,255600,229100,239500,253400,245500,257300,260500,278700,285500,289400,299100,305900,316900,340600,314200,328000,340800,411100,355700,378000,371000,375100,380800,391800,409000,417400,416000,424400,436900,444900,445600,456300,474400,490300,505900
,300,600,1500,1600,2300,3200,3900,5100,6100,7100,8200,9700,11300,12900,14800,16300,17800,19800,22400,23700,26400,29000,30800,33600,35800,39200,42300,45300,47900,52700,54500,55800,61000,64600,67300,70000,74700,95700,81700,86600,92200,93200,98500,112600,108000,110800,115500,122600,123300,131700,154500,146900,148900,169300,154800,161700,172900,176700,221300,191600,192600,202200,201800,213000,217500,217800,230900,232400,263600,244800,258700,263300,278300,285000,289600,300800,305900,313600,405100,383400,326000,327000,345900,352800,370100,366700,389700,376700,392400,391000,414100,416900,424800,443100,471000,451700,453100,497000,486300,492100
,300,600,1600,1600,2300,3200,3900,4800,6000,7100,8300,9800,11000,12700,15200,16500,18000,20100,22200,23700,25900,29100,30600,37300,35900,39500,41900,45600,48400,51200,55700,55300,61500,65100,67500,72900,75100,90600,81800,93700,91200,93700,97800,101400,118500,111800,121800,119800,128500,131000,144000,153000,146500,157900,158100,159300,172400,177000,181200,182000,188600,196700,202500,211200,210600,299000,227100,237900,249500,252200,254000,276900,281000,284800,290000,298500,307700,321500,305800,318400,326000,334400,410200,351200,352300,383000,368400,379000,391400,403200,420300,436600,418300,447800,457700,451100,468200,474100,484900,501100
,500,600,1500,1800,2200,3300,3800,18000,5900,7200,8100,10000,10900,12800,16200,16100,18000,19400,22000,23800,25800,28900,30700,33800,36000,39200,41700,44800,48100,55000,53100,56900,60300,64300,67900,72600,89800,76500,82200,86300,111000,93600,97700,105400,108500,111700,120500,119600,126100,130700,135200,141100,147000,163200,155400,160500,174400,177500,177500,182900,191400,207900,205700,213000,217100,218800,224800,234800,259600,245600,259100,261900,278000,284000,288500,300300,308200,313400,354200,315700,327800,359900,337800,345600,355400,365100,371600,378200,384700,412400,424100,446900,428900,432800,440200,445800,453700,485400,479700,501400
,300,500,1400,1500,2200,3000,4000,5100,6300,7100,8500,9700,10900,12700,14900,16200,17800,20100,22200,23900,25900,29100,31900,34900,36200,39400,41800,44800,48000,51400,53200,58800,60200,64500,68600,71400,74700,89800,80700,85300,90400,100100,98100,104600,113300,111200,116600,119300,132500,128200,137800,145800,150200,152200,158100,164500,167500,176600,179900,188100,190300,204500,221400,228300,217600,219100,241400,234000,242900,246000,251500,257900,277200,284900,291700,299500,308800,320300,305800,338200,327600,334000,423300,344900,361800,377800,381700,398000,394200,410200,414800,439800,419200,432500,439200,445900,466800,487900,486800,499600
,300,600,1700,1700,2100,3100,4000,5000,6100,7200,8200,9900,11300,12800,15400,20800,18200,20200,22900,23800,26400,29000,31800,51600,36800,40100,41800,44500,47400,51000,52800,57600,60300,64700,66000,71400,80700,78800,81200,85100,91000,94100,97900,113800,107500,109400,115000,120700,126900,127700,141100,148600,155800,151800,158300,190200,166100,176900,196400,181500,186300,205600,205200,209200,221100,241000,230600,232100,274000,245300,260700,263100,276000,284400,289000,298000,306300,315900,317200,320600,339100,329000,340400,346100,361100,358900,374000,380200,390400,398100,432100,430000,426400,425900,459600,456300,462300,473100,485700,500900
,300,500,1500,1700,2200,2900,3900,5100,5900,7000,83000,9900,11300,12800,15100,16700,18200,20300,22700,23900,25800,28900,31900,34500,103400,39000,43500,45000,47800,50800,54200,56900,60700,64900,66700,70500,73100,77600,82300,89300,90500,102700,98300,107700,110500,109200,114500,121500,130300,133400,151700,160500,179200,159100,159800,159800,224400,176100,199200,182200,190000,196200,203700,209300,217000,217900,260400,231900,249600,249300,256800,329800,276900,282800,288200,298700,304400,316100,309500,331600,351000,336500,401800,464000,355600,412800,381000,383900,401100,406300,409200,413100,425900,430500,447300,450900,458400,475000,476700,490200
,400,600,1600,1700,2300,3100,3900,5100,6100,7000,8200,9600,11300,16100,27700,16400,17700,20200,22900,23800,26800,29100,31700,36500,40400,38500,114700,44900,47500,50600,54300,57200,60500,64400,88700,71700,74600,82800,82100,85300,112500,96300,98200,102700,108200,130700,119100,121000,129300,129400,159500,141000,150800,163200,155900,159600,175500,176500,199900,202700,187000,201700,218700,215700,216600,220900,230300,236100,250400,247100,254800,265700,278100,282800,288500,297400,305100,314800,310200,318400,344500,336500,436400,357200,364600,370100,375500,403900,385300,395100,409100,460800,433700,438600,454700,452400,456100,491200,486000,482000
,300,600,1500,1500,2400,2900,3900,4900,7700,8600,8500,10100,10900,13000,14900,16500,18300,20100,22800,24300,26400,28700,32000,34300,37200,41700,41700,44800,59900,49900,54000,57600,94500,64500,68100,70900,77200,78500,81900,87700,92200,99900,98100,104300,105600,113100,122300,122000,125200,132700,134600,148000,148600,154100,155500,161400,173800,179800,177800,192700,189200,199500,204500,231400,215700,218700,225000,233700,246000,244700,268300,260300,277500,282400,289100,299500,306900,312800,321400,318000,320700,345500,413000,423100,350300,369700,383200,385200,387700,408700,411000,548700,424400,433700,462500,457000,457300,474800,474200,488100
,300,600,1400,1700,2200,2900,4000,5000,6100,7700,8500,10200,11100,12600,16600,16300,18800,19700,22700,24100,26200,29000,33900,34400,37600,38700,41300,44500,47500,49700,54800,61000,60600,64300,68100,70600,74100,81300,81800,87100,89100,95300,98500,101700,109700,115700,118600,119600,129900,204500,137000,151600,152200,150400,171800,196300,278200,182800,178100,205000,190700,202400,212800,208600,291600,217800,227200,230800,251600,246200,253900,263700,277000,283800,288100,301600,304600,314900,334800,314400,326600,342100,344000,345500,352900,364600,376600,444100,385200,396400,410600,487300,419600,431900,456800,450200,469900,471800,477800,489400
,200,500,1600,1700,2200,3000,4000,5100,5900,6900,8500,9800,11400,12700,14900,16400,18400,20100,22700,24300,29600,28500,31600,34200,38900,39100,46200,44700,47900,50200,54200,56800,60500,63400,73800,75100,75300,78000,81700,95400,88900,95100,97800,176100,106200,111200,118400,120500,139900,129100,134700,149900,146700,162200,158400,162100,175000,183400,177200,189700,196000,200100,200400,208000,218000,226100,225500,231700,243700,249700,256400,263300,276300,282200,289200,298100,303300,313300,316000,333800,328100,348900,358000,414300,361600,363100,368700,386600,385900,412700,405800,419700,471600,431400,470200,445800,455400,501600,478700,484100
,300,600,1500,1500,2300,2900,4100,5000,5900,7200,8500,9700,11100,12900,14800,16600,18700,20300,22500,24000,26300,29200,31200,33900,37200,38800,42100,44600,48800,50900,63700,56900,60900,63500,67500,70700,74800,110700,80800,88000,93700,96300,97700,101400,106400,113300,118200,123400,123600,149100,161700,141000,145100,148900,157700,172700,165300,175800,195100,183800,190200,205700,199900,207600,213000,235400,228400,234400,243400,244500,263300,270900,275500,283800,288600,297800,306800,313000,324700,329600,320700,332700,348400,351100,359100,368300,472000,392700,389000,401400,400200,410000,443100,430400,481200,450700,465000,480500,472500,492500
,300,600,1500,1600,2200,3200,4000,4900,6300,7000,8200,10000,11500,22900,15000,16300,18500,21900,22600,25400,26500,29400,31900,33900,37300,39600,41900,44900,48200,49900,58400,56600,59500,63500,81500,69400,74100,78000,81800,84900,90300,96100,98500,101200,106500,110200,142200,132300,124000,157900,138900,141000,169100,148200,157800,169000,176300,177200,180800,182100,198800,202500,199800,206900,219500,218200,225100,235600,250900,246300,259400,269300,275200,282400,287400,298000,304300,312500,372900,313100,324000,334800,344900,415000,355900,365400,368400,398500,390100,402200,401700,420000,484400,440500,448800,452300,452200,474200,479100,487500
,300,600,1600,1600,2300,3100,3800,5000,6200,7000,8300,9900,11400,13000,15000,16200,18100,20400,22300,23900,26800,34400,31600,34500,38200,40000,42000,45100,47600,56200,52500,55900,60200,64500,69500,70000,76800,78100,81300,85100,89500,95100,98700,101700,107800,110100,118300,121100,128300,132500,134200,145400,155700,150800,154400,160900,175500,175800,177300,181800,194400,203000,200800,206300,213300,220500,238600,240300,256500,249700,252600,265300,275700,280200,289100,298200,304500,312200,381700,321200,322300,334400,356400,344700,355600,367400,368200,389300,458800,398500,411400,414300,425200,436000,444700,446200,459900,497800,477600,490600
,300,600,1600,1600,2300,3000,3900,4900,6300,7100,8500,9600,11500,13000,15000,16400,18100,20100,22900,24800,27000,28700,31600,34400,35800,39200,42000,44500,47900,49800,52700,55500,60100,64500,74800,69100,87600,78000,81400,84700,90600,95900,97500,101700,106000,113800,121500,121000,126300,128500,133400,151000,149300,148300,155000,166100,164000,175300,183900,181600,188100,201700,206100,224500,211200,221100,227500,231500,245700,250400,257000,325900,275300,282000,294700,298100,302000,314800,316500,393000,326800,332600,344800,363900,358800,370000,368400,386900,391000,391900,400000,503400,419100,431600,449400,450800,466500,474700,488100,481600
,300,600,1400,1600,2200,2900,3900,5000,6300,6900,8600,9900,11200,12700,15100,16200,19000,20500,22600,24500,99100,28700,30300,33500,36100,39600,41200,45300,48000,51900,52800,122200,59600,64600,71400,71000,74000,77700,82400,84800,102800,93600,97100,101900,106000,112100,116100,119600,141900,144800,136700,141100,165500,149200,159000,158900,165700,175900,184700,182500,193500,199700,199900,208500,212300,222300,225900,233300,275100,267400,254600,257600,275000,280600,289300,296200,305900,312500,323200,320100,334400,337400,336800,371000,364700,366700,386000,385600,385700,393300,404000,427000,426400,441500,439600,452100,456500,472200,488200,499400
